urn of en allw scholion	scholion text after en allw	urn of iliad line for that scholion	text of corresponding Iliad line in VenA	text of a similar Iliad line in OCT	words that intersect between two lines	urn of OCT line
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	τὴν δὲ διεπράθομέν τε καὶ ἤγομεν ἐνθάδε πάντα	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:1.367
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	τοὺς δὲ κατὰ πρύμνας τε καὶ ἀμφ' ἅλα ἔλσαι ̓Αχαιοὺς	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:1.409
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βῆ δὲ θέειν ἀπὸ δὲ χλαῖναν βάλε τὴν δὲ κόμισσε	βῆ, δὲ, θέειν	urn:cts:greekLit:tlg0012.tlg001.omar:2.183
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	κάπνισσάν τε κατὰ κλισίας καὶ δεῖπνον ἕλοντο	τε, κλισίας, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:2.399
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	ὡς δὲ ἴδεν νεῦρόν τε καὶ ὄγκους ἐκτὸς ἐόντας	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:4.151
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βῆ δὲ μετὰ Ξάνθόν τε Θόωνά τε Φαίνοπος υἷε	βῆ, δὲ, τε	urn:cts:greekLit:tlg0012.tlg001.omar:5.152
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βῆ δ' ἴμεν ἄν τε μάχην καὶ ἀνὰ κλόνον ἐγχειάων	βῆ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:5.167
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	σοὶ δὲ χρὴ τάδε πάντα μέλειν νύκτάς τε καὶ ἦμαρ	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:5.490
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βῆ δὲ μετ' Αἴσηπον καὶ Πήδασον οὕς ποτε νύμφη	βῆ, δὲ, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:6.21
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	τῷ δὲ θεοὶ κάλλός τε καὶ ἠνορέην ἐρατεινὴν	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:6.156
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βουφόνεον δὲ κατὰ κλισίας καὶ δόρπον ἕλοντο	δὲ, κλισίας, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:7.466
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	εἰσορόων Τρώων τε πόλιν καὶ νῆας ̓Αχαιῶν	τε, καὶ, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:8.52
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	αὖτις ἀν' ἰωχμόν ἐπὶ δὲ Τρῶές τε καὶ ̔́Εκτωρ	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:8.158
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	ὡς πυρὶ νῆας ἐνιπρήσω κτείνω δὲ καὶ αὐτοὺς	δὲ, καὶ, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:8.182
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βῆ δ' ἰέναι παρά τε κλισίας καὶ νῆας ̓Αχαιῶν	βῆ, παρά, τε, κλισίας, καὶ, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:8.220
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	Μυρμιδόνων δ' ἐπί τε κλισίας καὶ νῆας ἱκέσθην	τε, κλισίας, καὶ, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:9.185
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	κτητοὶ δὲ τρίποδές τε καὶ ἵππων ξανθὰ κάρηνα	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:9.407
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	Μυρμιδόνων ἐπί τε κλισίας καὶ νῆας ἱκέσθαι	τε, κλισίας, καὶ, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:9.652
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	τὸν δ' εὗρεν παρά τε κλισίῃ καὶ νηὶ̈ μελαίνῃ	παρά, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:10.74
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	ἦ τε καὶ ὕστερον εἶσθα θοὰς ἐπὶ νῆας ̓Αχαιῶν	τε, καὶ, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:10.450
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	Τρώων δὲ κλαγγή τε καὶ ἄσπετος ὦρτο κυδοιμὸς	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:10.523
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	εἰσορόων Τρώων τε πόλιν καὶ νῆας ̓Αχαιῶν	τε, καὶ, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:11.82
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	αὐτὰρ ὃ βῆ ̓͂Ισόν τε καὶ ̓́Αντιφον ἐξεναρίξων	βῆ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:11.101
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	πολλοὶ δὲ πρηνεῖς τε καὶ ὕπτιοι ἔκπεσον ἵππων	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:11.179
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βῆ δὲ θέειν παρὰ νῆας ἐπ' Αἰακίδην ̓Αχιλῆα	βῆ, δὲ, θέειν, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:11.805
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	τεῖχός τε ῥήξειν καὶ ἐνιπρήσειν πυρὶ νῆας	τε, καὶ, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:12.198
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βῆ δὲ θέειν παρὰ τεῖχος ̓Αχαιῶν χαλκοχιτώνων	βῆ, δὲ, θέειν	urn:cts:greekLit:tlg0012.tlg001.omar:12.352
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	ῥέα διελεύσεσθαι κλισίας καὶ νῆας ̓Αχαιῶν	κλισίας, καὶ, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:13.144
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βῆ δ' ἰέναι παρά τε κλισίας καὶ νῆας ̓Αχαιῶν	βῆ, παρά, τε, κλισίας, καὶ, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:13.167
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βῆ δ' ἰέναι παρά τε κλισίας καὶ νῆας ̓Αχαιῶν	βῆ, παρά, τε, κλισίας, καὶ, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:13.208
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	καί τοι ἐμοὶ παρά τε κλισίῃ καὶ νηὶ̈ μελαίνῃ	παρά, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:13.267
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	νῆας ἄφαρ δέ τε χεῖρες ἀμύνειν εἰσὶ καὶ ἡμῖν	τε, καὶ, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:13.814
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	πρὶν πυρὶ νῆας ἐνιπρῆσαι κτεῖναι δὲ καὶ αὐτούς	δὲ, καὶ, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:14.47
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βῆ δὲ θέειν ἐπὶ νῆας ̓Αχαιῶν νήδυμος ̔́Υπνος	βῆ, δὲ, θέειν, νῆας	urn:cts:greekLit:tlg0012.tlg001.omar:14.354
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	ἐκλύσθη δὲ θάλασσα ποτὶ κλισίας τε νέας τε	δὲ, τε, κλισίας	urn:cts:greekLit:tlg0012.tlg001.omar:14.392
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	Μηριόνης δὲ Μόρυν τε καὶ ̔Ιπποτίωνα κατέκτα	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:14.514
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	ὣς τρέσε Νεστορίδης ἐπὶ δὲ Τρῶές τε καὶ ̔́Εκτωρ	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:15.589
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βῆ δὲ μετ' Αἰνείαν τε καὶ ̔́Εκτορα χαλκοκορυστήν	βῆ, δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:16.536
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βῆ δὲ θέειν εἶθαρ δὲ παριστάμενος ἔπος ηὔδα	βῆ, δὲ, θέειν	urn:cts:greekLit:tlg0012.tlg001.omar:17.119
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	πολλὰ δὲ Μηριόνῃ τε καὶ Αἰάντεσς' ἐπέτελλεν	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:17.668
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βῆ δὲ θέειν τὰ δὲ τεύχε' ἀμύμονι δῶκεν ἑταίρῳ	βῆ, δὲ, θέειν	urn:cts:greekLit:tlg0012.tlg001.omar:17.698
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	οὐρῇ δὲ πλευράς τε καὶ ἰσχία ἀμφοτέρωθεν	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:20.170
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	βῆ ῥ' ἴμεν ἄν τε μάχην καὶ ἀνὰ κλόνον ἐγχειάων	βῆ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:20.319
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	πυκναὶ δὲ σμώδιγγες ἀνὰ πλευράς τε καὶ ὤμους	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:23.716
urn:cts:greekLit:tlg5026.msAim.hmt:11.73	χωρὶς λέγοντες	urn:cts:greekLit:tlg0012.tlg001.msA:11.617	βῆ δὲ θέειν παρά τε κλισίας καὶ νῆας Ἀχαιῶν	μεσσηγὺς δὲ Σάμου τε καὶ ̓́Ιμβρου παιπαλοέσσης	δὲ, τε, καὶ	urn:cts:greekLit:tlg0012.tlg001.omar:24.78
---	---	---	---	---	---	---
---	---	---	---	---	---	---
---	---	---	---	---	---	---
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὴν δ' αὖτ' ̓Αντήνωρ πεπνυμένος ἀντίον ηὔδα	δ', αὖτ', ἀντίον	urn:cts:greekLit:tlg0012.tlg001.omar:3.203
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖτ' ̓Ιδομενεὺς Κρητῶν ἀγὸς ἀντίον ηὔδα	τὸν, δ', αὖτ', ἀντίον	urn:cts:greekLit:tlg0012.tlg001.omar:4.265
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖτ' Αἰνείας Τρώων ἀγὸς ἀντίον ηὔδα	τὸν, δ', αὖτ', ἀντίον	urn:cts:greekLit:tlg0012.tlg001.omar:5.217
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖ Σαρπηδὼν Λυκίων ἀγὸς ἀντίον ηὔδα	τὸν, δ', ἀντίον	urn:cts:greekLit:tlg0012.tlg001.omar:5.647
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖτ' ὀτρηρὴ ταμίη πρὸς μῦθον ἔειπεν	τὸν, δ', αὖτ'	urn:cts:greekLit:tlg0012.tlg001.omar:6.381
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖτ' ̓Ιδομενεὺς Κρητῶν ἀγὸς ἀντίον ηὔδα	τὸν, δ', αὖτ', ἀντίον	urn:cts:greekLit:tlg0012.tlg001.omar:13.221
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖ Μηριόνης πεπνυμένος ἀντίον ηὔδα	τὸν, δ', ἀντίον	urn:cts:greekLit:tlg0012.tlg001.omar:13.254
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖτ' ̓Ιδομενεὺς Κρητῶν ἀγὸς ἀντίον ηὔδα	τὸν, δ', αὖτ', ἀντίον	urn:cts:greekLit:tlg0012.tlg001.omar:13.259
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖ Μηριόνης πεπνυμένος ἀντίον ηὔδα	τὸν, δ', ἀντίον	urn:cts:greekLit:tlg0012.tlg001.omar:13.266
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖτ' ̓Ιδομενεὺς Κρητῶν ἀγὸς ἀντίον ηὔδα	τὸν, δ', αὖτ', ἀντίον	urn:cts:greekLit:tlg0012.tlg001.omar:13.274
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖτ' ̓Ιδομενεὺς Κρητῶν ἀγὸς ἀντίον ηὔδα	τὸν, δ', αὖτ', ἀντίον	urn:cts:greekLit:tlg0012.tlg001.omar:13.311
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖ Μηριόνης δουρικλυτὸς ἀντίον ηὔδα	τὸν, δ', ἀντίον	urn:cts:greekLit:tlg0012.tlg001.omar:16.619
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖτ' Αὐτομέδων προσέφη Διώρεος υἱός	τὸν, δ', αὖτ'	urn:cts:greekLit:tlg0012.tlg001.omar:17.474
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖτ' Αἰνείας ἀπαμειβόμενος προσέειπε	τὸν, δ', αὖτ'	urn:cts:greekLit:tlg0012.tlg001.omar:20.86
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖτ' Αἰνείας ἀπαμείβετο φώνησέν τε	τὸν, δ', αὖτ'	urn:cts:greekLit:tlg0012.tlg001.omar:20.199
urn:cts:greekLit:tlg5026.msAim.hmt:11.95	θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:11.822	τὸν δ' αὖτ' Εὐρύπυλος βεβλημένος ἀντίον ηύδα	τὸν δ' αὖτ' ̓Αντίλοχος πεπνυμένος ἀντίον ηὔδα	τὸν, δ', αὖτ', ἀντίον	urn:cts:greekLit:tlg0012.tlg001.omar:23.586
---	---	---	---	---	---	---
urn:cts:greekLit:tlg5026.msAim.hmt:12.H1	σὸν δὲ κλέος	urn:cts:greekLit:tlg0012.tlg001.msA:12.179	νηῶν ἠμύνοντο θεοὶ δ' ἀκαχείατο θυμὸν	βὰν δ' ἴμεναι πόλεμον δὲ θεοὶ δίχα θυμὸν ἔχοντες	θεοὶ, δ', θυμὸν	urn:cts:greekLit:tlg0012.tlg001.omar:20.32
---	---	---	---	---	---	---
urn:cts:greekLit:tlg5026.msAim.hmt:12.H5	ὁ δέ μιν ρέα πάλλε καὶ οἷος	urn:cts:greekLit:tlg0012.tlg001.msA:12.214	οὔτέ ποτ' ἐν πολέμῳ σὸν δὲ κράτος αἰὲν ἀέξειν	οὔτέ ποτ' ἐν πολέμῳ ἐναρίθμιος οὔτ' ἐνὶ βουλῇ	οὔτέ, ποτ', ἐν, πολέμῳ	urn:cts:greekLit:tlg0012.tlg001.omar:2.202
urn:cts:greekLit:tlg5026.msAim.hmt:12.H5	ὁ δέ μιν ρέα πάλλε καὶ οἷος	urn:cts:greekLit:tlg0012.tlg001.msA:12.214	οὔτέ ποτ' ἐν πολέμῳ σὸν δὲ κράτος αἰὲν ἀέξειν	ἐν πολέμῳ χαλεποὶ δὲ θεοὶ φαίνεσθαι ἐναργεῖς	ἐν, πολέμῳ, δὲ	urn:cts:greekLit:tlg0012.tlg001.omar:20.131
---	---	---	---	---	---	---
urn:cts:greekLit:tlg5026.msAim.hmt:12.G7	στη δ' ἂρ ἐπί οὐδὸν ἰ̈ὼν	urn:cts:greekLit:tlg0012.tlg001.msA:12.383	οἷοι νῦν βροτοί εἰσ' ὁ δ' ἂρ ὑψόθεν ἔμβαλ' ἀείρας	οἷοι νῦν βροτοί εἰς' ὃ δέ μιν ῥέα πάλλε καὶ οἶος	οἷοι, νῦν, βροτοί	urn:cts:greekLit:tlg0012.tlg001.omar:5.304
urn:cts:greekLit:tlg5026.msAim.hmt:12.G7	στη δ' ἂρ ἐπί οὐδὸν ἰ̈ὼν	urn:cts:greekLit:tlg0012.tlg001.msA:12.383	οἷοι νῦν βροτοί εἰσ' ὁ δ' ἂρ ὑψόθεν ἔμβαλ' ἀείρας	τούτῳ δ' οὔτ' ἂρ νῦν φρένες ἔμπεδοι οὔτ' ἄρ' ὀπίσσω	νῦν, δ', ἂρ	urn:cts:greekLit:tlg0012.tlg001.omar:6.352
urn:cts:greekLit:tlg5026.msAim.hmt:12.G7	στη δ' ἂρ ἐπί οὐδὸν ἰ̈ὼν	urn:cts:greekLit:tlg0012.tlg001.msA:12.383	οἷοι νῦν βροτοί εἰσ' ὁ δ' ἂρ ὑψόθεν ἔμβαλ' ἀείρας	οἷοι νῦν βροτοί εἰς' ὃ δέ μιν ῥέα πάλλε καὶ οἶος	οἷοι, νῦν, βροτοί	urn:cts:greekLit:tlg0012.tlg001.omar:12.449
